City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hithadhoo,-0.6,73.0833,80.89,74,75,9.22,MV,2023-01-26 01:07:35
1,Sangin,32.0728,64.8359,34.52,52,0,4.92,AF,2023-01-26 01:09:01
2,Acapulco,16.8634,-99.8901,80.42,74,0,8.05,MX,2023-01-26 01:05:16
3,Saint George,37.1041,-113.5841,45.25,37,0,19.57,US,2023-01-26 01:04:55
4,Albany,42.6001,-73.9662,36.05,89,100,1.99,US,2023-01-26 01:06:34
5,Kieta,-6.2167,155.6333,81.88,78,71,9.53,PG,2023-01-26 01:09:02
6,Pachavita,5.1397,-73.3974,57.06,93,76,1.28,CO,2023-01-26 01:09:02
7,Nizhniy Lomov,53.5304,43.6766,16.3,86,40,9.93,RU,2023-01-26 01:09:03
8,Jamestown,42.097,-79.2353,36.99,75,100,6.91,US,2023-01-26 01:04:48
9,Bud,39.447,-86.1758,34.92,96,100,12.86,US,2023-01-26 01:09:04
10,Matay,28.419,30.7792,52.2,69,0,8.32,EG,2023-01-26 01:09:05
11,Lingao,19.9103,109.6859,63.59,85,10,7.58,CN,2023-01-26 01:09:05
12,Punta Arenas,-53.15,-70.9167,44.71,70,75,11.5,CL,2023-01-26 01:09:06
13,Bluff,-46.6,168.3333,67.05,57,21,4.18,NZ,2023-01-26 01:09:06
14,Hobart,-42.8794,147.3294,66.06,49,75,9.22,AU,2023-01-26 01:09:06
15,Hofn,64.2539,-15.2082,34.36,76,100,10.78,IS,2023-01-26 01:09:07
16,Dingle,10.9995,122.6711,76.23,90,100,10.6,PH,2023-01-26 01:09:07
17,Busselton,-33.65,115.3333,72.03,49,0,6.71,AU,2023-01-26 01:09:08
18,Acarau,-2.8856,-40.12,77.52,81,100,7.45,BR,2023-01-26 01:09:08
19,Flinders,-34.5833,150.8552,89.26,64,4,4.0,AU,2023-01-26 01:09:09
20,East London,-33.0153,27.9116,67.86,89,24,12.55,ZA,2023-01-26 01:09:09
21,Tuatapere,-46.1333,167.6833,76.86,38,15,3.47,NZ,2023-01-26 01:09:10
22,Bredasdorp,-34.5322,20.0403,61.11,78,0,3.71,ZA,2023-01-26 01:09:10
23,Lagoa,39.05,-27.9833,58.14,68,5,17.69,PT,2023-01-26 01:09:11
24,Creston,41.0586,-94.3614,19.36,93,100,20.71,US,2023-01-26 01:09:11
25,Nizhnevartovsk,60.9344,76.5531,10.42,92,20,8.99,RU,2023-01-26 01:09:12
26,Kloulklubed,7.0419,134.2556,82.9,79,62,15.55,PW,2023-01-26 01:09:13
27,Vaini,-21.2,-175.2,84.36,89,40,9.22,TO,2023-01-26 01:09:13
28,Hermanus,-34.4187,19.2345,60.8,76,50,8.34,ZA,2023-01-26 01:09:14
29,Ushuaia,-54.8,-68.3,37.92,91,15,6.13,AR,2023-01-26 01:09:14
30,New Norfolk,-42.7826,147.0587,65.71,39,100,8.75,AU,2023-01-26 01:09:15
31,Port Lincoln,-34.7333,135.8667,68.54,64,18,10.83,AU,2023-01-26 01:09:15
32,Dossor,47.5272,52.9811,18.27,80,4,3.22,KZ,2023-01-26 01:09:16
33,Upernavik,72.7868,-56.1549,4.35,94,100,11.05,GL,2023-01-26 01:09:16
34,Lavrentiya,65.5833,-171.0,-11.79,89,100,10.83,RU,2023-01-26 01:09:17
35,Butaritari,3.0707,172.7902,81.1,77,100,20.58,KI,2023-01-26 01:09:17
36,Ancud,-41.8697,-73.8203,56.52,87,100,10.63,CL,2023-01-26 01:09:18
37,Broome,42.2506,-75.833,37.02,90,100,13.0,US,2023-01-26 01:09:18
38,Tiksi,71.6872,128.8694,-34.69,98,53,4.83,RU,2023-01-26 01:09:19
39,Dikson,73.5069,80.5464,1.56,91,100,22.3,RU,2023-01-26 01:09:19
40,Iqaluit,63.7506,-68.5145,-27.67,75,0,3.44,CA,2023-01-26 01:09:20
41,Hilo,19.7297,-155.09,80.33,71,40,11.5,US,2023-01-26 01:09:20
42,Liku,-0.7275,119.8922,80.33,82,100,2.39,ID,2023-01-26 01:09:21
43,Manado,1.487,124.8455,81.37,89,75,1.14,ID,2023-01-26 01:09:21
44,Tuktoyaktuk,69.4541,-133.0374,-15.43,96,100,11.52,CA,2023-01-26 01:09:22
45,Port Elizabeth,-33.918,25.5701,67.32,93,1,3.0,ZA,2023-01-26 01:09:22
46,Fairbanks,64.8378,-147.7164,10.92,78,100,3.44,US,2023-01-26 01:06:20
47,Norman Wells,65.282,-126.8329,-3.96,84,100,10.36,CA,2023-01-26 01:09:23
48,Bilma,18.6853,12.9164,70.03,14,0,7.2,NE,2023-01-26 01:09:23
49,Goderich,43.7501,-81.7165,31.91,96,100,15.64,CA,2023-01-26 01:09:24
50,Saint-Philippe,-21.3585,55.7679,74.79,95,100,9.91,RE,2023-01-26 01:09:24
51,Kruisfontein,-34.0033,24.7314,57.88,89,0,3.56,ZA,2023-01-26 01:09:25
52,Gobabis,-22.45,18.9667,73.0,49,91,2.57,,2023-01-26 01:09:25
53,Kashi,39.4547,75.9797,8.2,87,100,3.42,CN,2023-01-26 01:09:26
54,Kutum,14.2,24.6667,60.01,19,96,6.08,SD,2023-01-26 01:09:26
55,Kamina,-8.7386,24.9906,60.66,98,100,3.02,CD,2023-01-26 01:09:27
56,Frankenberg,51.0667,8.8,32.11,89,100,2.66,DE,2023-01-26 01:09:27
57,Sackville,45.9188,-64.3846,11.62,90,100,4.36,CA,2023-01-26 01:09:28
58,Kardymovo,54.8902,32.4311,27.48,76,100,8.66,RU,2023-01-26 01:09:28
59,Lompoc,34.6391,-120.4579,64.54,67,0,1.99,US,2023-01-26 01:09:28
60,Ballina,-28.8667,153.5667,85.03,57,47,7.2,AU,2023-01-26 01:09:29
61,Baghmara,23.795,86.2085,64.94,51,2,3.09,IN,2023-01-26 01:09:29
62,San Ramon,37.7799,-121.978,61.16,49,0,4.61,US,2023-01-26 01:06:12
63,College,64.8569,-147.8028,10.9,78,100,3.44,US,2023-01-26 01:09:30
64,Cabo San Lucas,22.8909,-109.9124,71.91,40,100,3.44,MX,2023-01-26 01:09:30
65,Castro,-24.7911,-50.0119,66.42,69,49,5.59,BR,2023-01-26 01:08:38
66,Emerald,-23.5333,148.1667,84.34,58,51,11.34,AU,2023-01-26 01:09:31
67,Podporozhye,60.9112,34.1706,34.48,98,100,11.77,RU,2023-01-26 01:09:31
68,Malanje,-9.5402,16.341,61.5,94,100,2.13,AO,2023-01-26 01:09:32
69,Viedma,-40.8135,-62.9967,78.1,32,62,6.04,AR,2023-01-26 01:09:32
70,Saskylakh,71.9167,114.0833,-27.96,97,100,9.73,RU,2023-01-26 01:09:33
71,Mataura,-46.1927,168.8643,79.36,29,87,4.5,NZ,2023-01-26 01:09:33
72,Cape Town,-33.9258,18.4232,63.91,74,12,10.0,ZA,2023-01-26 01:06:04
73,Quatre Cocos,-20.2078,57.7625,74.08,93,100,15.95,MU,2023-01-26 01:09:34
74,Atuona,-9.8,-139.0333,78.57,75,80,15.14,PF,2023-01-26 01:09:34
75,Leningradskiy,69.3833,178.4167,-21.19,89,3,4.0,RU,2023-01-26 01:09:34
76,Ozernovskiy,51.5,156.5167,27.93,95,100,13.38,RU,2023-01-26 01:09:35
77,Belyy Yar,53.6039,91.3903,17.49,69,0,15.66,RU,2023-01-26 01:09:35
78,Rikitea,-23.1203,-134.9692,79.5,76,100,14.7,PF,2023-01-26 01:09:36
79,Puerto Ayora,-0.7393,-90.3518,76.55,92,82,5.01,EC,2023-01-26 01:09:36
80,Avarua,-21.2078,-159.775,82.45,83,20,6.91,CK,2023-01-26 01:09:37
81,Victoria,22.2855,114.1577,60.24,72,41,5.01,HK,2023-01-26 01:08:10
82,Hurricane,37.1753,-113.2899,43.32,58,2,7.67,US,2023-01-26 01:09:37
83,Reyes,-14.3167,-67.3833,77.31,77,30,2.82,BO,2023-01-26 01:09:38
84,Oriximina,-1.7656,-55.8661,74.16,93,100,2.46,BR,2023-01-26 01:09:38
85,Samarai,-10.6167,150.6667,79.0,88,100,9.4,PG,2023-01-26 01:09:39
86,Ambon,-3.6954,128.1814,82.54,83,20,3.44,ID,2023-01-26 01:09:39
87,Te Anau,-45.4167,167.7167,74.25,37,7,8.63,NZ,2023-01-26 01:09:40
88,Svetlyy,54.675,20.1347,28.96,88,100,10.07,RU,2023-01-26 01:09:40
89,Dingalan,15.3897,121.3929,75.33,72,97,9.64,PH,2023-01-26 01:09:41
90,Severo-Kurilsk,50.6789,156.125,26.44,86,100,16.78,RU,2023-01-26 01:09:41
